,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
474,P7,Cotton Yarn,Ton,China ,45849.0,133.06018600000002,Fabric Materials,14,6100676.468,2016
475,N3,"Cranes, Lifts And Winches",Na,China ,45849.0,1.453569,Machinery and parts,10,66644.68508,2012
476,H8,"Drug Formulations, Biologicals",Kgs,China ,318334.0,28.333474,Chemicals,7,9019508.112,2016
477,H6,Dye Intermediates,Kgs,China ,3590.0,0.007921,Dyes,7,28.43639,2013
478,H7,Dyes,Kgs,China ,6965036.0,28.323088000000002,Dyes,7,197271327.6,2012
479,N4,Air conditioner,Na,China ,666.0,20.753784,Electronic Components,11,13822.02014,2020
480,M4,Electrodes,Kgs,China ,53806.0,0.140426,Accumulators and Batteries,9,7555.761356,2019
481,P2,Microwave ,Na,China ,7272.0,9.718599000000001,Electronic Components,11,70673.65193,2020
482,P3,Washing Machine,Na,China ,11946.0,11.856368,Electronic Components,11,141636.1721,2018
483,I6,Plastic bags,Kgs,China ,80521.0,0.560669,Plastic Materials,8,45145.62855,2014
484,H2,Fertilizers Crude,Ton,China ,1.0,0.004229,Fertilizers,3,0.004229,2019
485,H3,Fertilizers Manufactured,Ton,China ,114.0,0.374084,Fertilizers,3,42.645576,2013
486,G2,Footwear Of Leather,Na,China ,114.0,0.284181,Leather Products,1,32.396634,2014
487,J1,Footwear Of Rubber/Canvas Etc.,Na,China ,114.0,1.182721,Rubber Products,5,134.830194,2019
488,G9,Gold And Oth Precs Metl Jwlery,Na,USA,4557.0,0.948548,Metals,2,4322.533236,2019
489,K5,"Human Hair, Products Thereo",Kgs,USA,20.0,0.00047300000000000006,Cosmetics,6,0.00946,2016
490,N5,Ic Engines And Parts,Na,USA,148.0,29.305278,Machinery and parts,10,4337.181144,2016
491,I2,Inorganic Chemicals,Kgs,USA,50457030.0,5.3496239999999995,Chemicals,7,269926138.7,2019
492,L3,Iron And Steel,Ton,USA,31527.0,31.383096999999996,Metals,2,989414.8991,2019
493,R6,Jute Yarn,Ton,USA,429.0,0.5353319999999999,Fabric Materials,14,229.657428,2015
494,L7,Lead And Products Made Of Led,Ton,USA,50.0,0.123767,Metals,2,6.18835,2017
495,G3,Leather Footwear Component,Kgs,USA,1000.0,0.017656,Leather Products,1,17.656,2012
496,G1,Leather Garments,Kgs,USA,60.0,0.005128,Leather Products,1,0.30768,2013
