pc_code,pc_description,unit,country_name,quantity,perUnit,categoryName,categoryID,Value,year
K8,Plastic Raw Materials,Ton,Iran,41483,45.117949,Plastic Products,8,1871627.878,2013
K8,Plastic Raw Materials,Ton,Sri Lanka ,35357,45.244903,Plastic Products,8,1599724.035,2015
K8,Plastic Raw Materials,Ton,Hong Kong,58912,55.385933,Plastic Products,8,3262896.085,2017
K8,Plastic Raw Materials,Ton,U Arab Emts,49850,60.494709,Plastic Products,8,3015661.244,2013
K8,Plastic Raw Materials,Ton,Germany,34348,77.83599,Plastic Products,8,2673510.585,2015
K8,Plastic Raw Materials,Ton,Nepal,1718113,99.844903,Plastic Products,8,171544825.8,2016
K8,Plastic Raw Materials,Ton,U S A,42395,107.658608,Plastic Products,8,4564186.686,2015
K8,Plastic Raw Materials,Ton,U Arab Emts,112003,132.2448,Plastic Products,8,14811814.33,2013
K8,Plastic Raw Materials,Ton,Bangladesh,144086,154.20851,Plastic Products,8,22219287.37,2019
K8,Plastic Raw Materials,Ton,U Arab Emts,147080,157.714024,Plastic Products,8,23196578.65,2017
K8,Plastic Raw Materials,Ton,Italy,156188,165.289966,Plastic Products,8,25816309.21,2020
B8,Plastic Toys,Ton,Iraq,21,0.051193,Plastic Products,8,1.075053,2017
B8,Plastic Toys,Ton,France,50,0.393543,Plastic Products,8,19.67715,2014
B8,Plastic Water Bottles,Ton,Denmark,0,0.000361,Plastic Products,8,0,2014
B8,Plastic Water Bottles,Ton,Bhutan,450,0.553969,Plastic Products,8,249.28605,2017
B8,Plastic Water Bottles,Ton,Brazil,378,1.231186,Plastic Products,8,465.388308,2014
M1,Zinc And Products Made Of Zinc,Ton,Thailand,0,0.003953,Metals,2,0,2012
M1,Zinc And Products Made Of Zinc,Ton,Hong Kong,25,0.004729,Metals,2,0.118225,2013
M1,Zinc And Products Made Of Zinc,Ton,Russia,1,0.005352,Metals,2,0.005352,2012
M1,Zinc And Products Made Of Zinc,Ton,Sri Lanka ,5,0.010819,Metals,2,0.054095,2015
M1,Zinc And Products Made Of Zinc,Ton,Thailand,4,0.012002,Metals,2,0.048008,2013
M1,Zinc And Products Made Of Zinc,Ton,Iran,5,0.012784,Metals,2,0.06392,2013
M1,Zinc And Products Made Of Zinc,Ton,Switzerland,3,0.025072,Metals,2,0.075216,2013
M1,Zinc And Products Made Of Zinc,Ton,Thailand,20,0.042779,Metals,2,0.85558,2014
M1,Zinc And Products Made Of Zinc,Ton,U K,24,0.076456,Metals,2,1.834944,2019
M1,Zinc And Products Made Of Zinc,Ton,Canada,13,0.092666,Metals,2,1.204658,2014
M1,Zinc And Products Made Of Zinc,Ton,France,27,0.130134,Metals,2,3.513618,2014
M1,Zinc And Products Made Of Zinc,Ton,Singapore,75,0.19697,Metals,2,14.77275,2014
M1,Zinc And Products Made Of Zinc,Ton,Germany,70,0.414741,Metals,2,29.03187,2015
M1,Zinc And Products Made Of Zinc,Ton,China,225,0.627457,Metals,2,141.177825,2019
M1,Zinc And Products Made Of Zinc,Ton,Sri Lanka ,212,0.651026,Metals,2,138.017512,2019
M1,Zinc And Products Made Of Zinc,Ton,New Zealand,400,1.220535,Metals,2,488.214,2017
M1,Zinc And Products Made Of Zinc,Ton,Australia,542,1.521112,Metals,2,824.442704,2012
M1,Zinc And Products Made Of Zinc,Ton,Egypt,612,1.80877,Metals,2,1100999907,2015
M1,Zinc And Products Made Of Zinc,Ton,U S A,431,1.839031,Metals,2,792.622361,2019
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,900,2.428492,Metals,2,2185.6428,2017
M1,Zinc And Products Made Of Zinc,Ton,Hong Kong,1520,3.738258,Metals,2,5682.15216,2020
M1,Zinc And Products Made Of Zinc,Ton,Italy,1331,3.740929,Metals,2,4979.176499,2016
M1,Zinc And Products Made Of Zinc,Ton,Brazil,1640,3.954924,Metals,2,6486.07536,2015
M1,Zinc And Products Made Of Zinc,Ton,Japan,2639,6.811295,Metals,2,17975.00751,2016
M1,Zinc And Products Made Of Zinc,Ton,Nepal,6411,16.145591,Metals,2,103509.3839,2017
M1,Zinc And Products Made Of Zinc,Ton,Singapore,6237,16.902846,Metals,2,105423.0505,2019
M1,Zinc And Products Made Of Zinc,Ton,U S A,7150,19.495709,Metals,2,139394.3194,2015
M1,Zinc And Products Made Of Zinc,Ton,South Africa,8355,22.029066,Metals,2,184052.8464,2020
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,8701,22.27001,Metals,2,193771.357,2018
M1,Zinc And Products Made Of Zinc,Ton,Thailand,7965,22.372235,Metals,2,178194.8518,2012
M1,Zinc And Products Made Of Zinc,Ton,Bangladesh,8826,23.725133,Metals,2,209398.0239,2019
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,10615,28.840293,Metals,2,306139.7102,2020
M1,Zinc And Products Made Of Zinc,Ton,U Arab Emts,23945,62.989015,Metals,2,1508271.964,2016
M1,Zinc And Products Made Of Zinc,Ton,Malaysia,52038,143.574728,Metals,2,7471341.696,2012
